title,author,journal,number,year,reviewed,display,citation-number
Natural history and genomic landscape of chemotherapy-resistant muscle-invasive bladder cancer,"AT Lenis, K Whiting, V Ravichandran, JE Tallman, SM Alam, CE Chu, and others",JCO precision oncology,"8, e2300274",2024,No,No,
Synchronous and metachronous bilateral breast cancer among women with a history of lobular carcinoma in situ,"MA Mallory, K Whiting, A Park, M Gönen, E Gilbert, TA King, ML Pilewskie",Breast cancer research and treatment,"194 (1), 137-148",2022,No,No,
Cureit: An End-to-End Pipeline for Implementing Mixture Cure Models With an Application to Liposarcoma Data,"K Whiting, T Fei, S Singer, LX Qin",JCO clinical cancer informatics,"8, e2300234",2024,No,Yes,
Histologic Subvariants of Retroperitoneal Well-Differentiated Liposarcoma Show Evidence of Clinical and Genomic Progression Toward Dedifferentiated Liposarcoma,"GZ Li, J Lee, K Whiting, E Seffar, LX Qin, EK Bartlett, AM Crago, and others",JCO Precision Oncology,"9, e2500316",2025,No,Yes,
The Prognostic significance of stem cell-like marker PLCG2 and novel neuroendocrine markers in bladder neuroendocrine carcinomas,"D Akbulut, GG Ozcan, MB Yerebakan, K Whiting, JF Chen, J Sarungbam, and others",Laboratory Investigation,"103 (3), S680-S681",2023,No,No,
"FLIRT, a web application to predict the movement of infected travelers validated against the current Zika virus epidemic","A Huff, T Allen, K Whiting, B Arnold, N Breit, A Miessler",International Journal of Infectious Diseases,"53, 97-98",2016,No,No,
AI-MIRACLE: Artificial Intelligence and MultIpaRAmetric MRI Predict CLinical OutcomEs to Neoadjuvant Immunotherapy in Patients with Muscle-invasive Bladder Cancer Undergoing …,"A Necchi, G Brembilla, K Whiting, Y Arita, O Akin, A Apte, M Awais, and others",European urology oncology,,2026,No,Yes,
Low α-Diversity and Enterococcus Faecium Domination Are Associated with Increased Mortality in Pediatric Allogeneic HCT Recipients.,"O Miltiadous, N Waters, S Siegel, E Velardi, L Ma, F Galaverna, K Whiting, and others",Transplantation and Cellular Therapy,"32 (2), S583-S584",2026,No,No,
Susceptibility of healthcare personnel with severe acute respiratory coronavirus virus 2 (SARS-CoV-2) hybrid immunity to XBB lineage reinfection,"K Whiting, R Guest, VE Seshan, M Kamboj",Infection Control & Hospital Epidemiology,"45 (6), 781-784",2024,No,Yes,
Knowledge of bladder cancer risk factors among patients diagnosed with nonmuscle-invasive bladder cancer,"RS Matulewicz, K Whiting, BH Bochner, JS Ostroff, H Furberg",The Journal of urology,"209 (1), 6-8",2023,No,No,
Platinum-based chemotherapy after enfortumab vedotin and pembrolizumab in metastatic urothelial carcinoma: a real-world study,"M Sternschuss, K Whiting, A Arbuiso, A Gupta, E Bent, N Alvarez, and others",ESMO open,"11 (8), 108318",2026,No,No,
Peri-transplant gut microbiome injury and enterococcus faecium domination are associated with increased mortality in pediatric allogeneic hematopoietic cell transplantation,"E Velardi, O Miltiadous, N Waters, S Siegel, L Ma, A Orakov, F Galaverna, K Whiting, and others",BONE MARROW TRANSPLANTATION,"61, 151-151",2026,No,No,
3102P Outcomes with enfortumab vedotin and pembrolizumab in metastatic urothelial carcinoma harboring FGFR3 or ERBB2 alterations,"M Sternschuss, K Whiting, A Arbuiso, A Gupta, E Bent, N Alvarez, A Firas, and others",Annals of Oncology,"36, S1607-S1608",2025,No,No,
3089P Clinical outcomes with enfortumab vedotin and pembrolizumab in metastatic urothelial carcinoma and divergent differentiation or histologic subtypes,"M Sternschuss, K Whiting, A Arbuiso, A Gupta, E Bent, N Alvarez, and others",Annals of Oncology,"36, S1602",2025,No,No,
Fc-optimized anti-CD40 agonist antibody 2141-V11 for BCGunresponsive non-muscle invasive bladder cancer: Updates on phase 1 study clinical outcomes and biological correlatives Free,"JC Osorio, L Blanchard, N Yao, SM Alam, J Angulo-Lozano, K Whiting, and others",CANCER RESEARCH,85 (8),2025,No,No,
Revisiting Tumor Mutational Burden Cutoff: Multi-Study Replicability in Immunotherapy,"I Jaljuli, K Whiting, E Rosenbaum, LX Qin",bioRxiv,2025.01. 02.631104,2025,No,Yes,
2003P Clinical outcomes of patients with metastatic urothelial carcinoma (mUC) discontinuing enfortumab vedotin (EV) monotherapy (mono) without disease progression,"M Sternschuss, K Whiting, MY Teo, D Bajorin, R Kotecha, AL Laccetti, and others",Annals of Oncology,"35, S1157-S1158",2024,No,No,
Phase I study of intravesical Fc-optimized anti-CD40 agonist antibody 2141-V11 for non-muscle invasive bladder cancer (NMIBC) unresponsive to Bacillus Calmette-Guerin (BCG) therapy,"JC Osorio, M Alam, J Wong, D Knorr, L Blanchard, JC Angulo-Lozano, K Whiting, and others",CANCER RESEARCH,84 (7),2024,No,No,
"Molecular, immunohistochemical and clinical determinants of urothelial carcinoma of the bladder with nested subtype","FJ Koll, M Basar, Z Chen, AL Tin, SM Alam, JE Tallman, TN Clinton, K Whiting, and others",European Urology,"85, S874",2024,No,No,
Histologic Subvariant Predicts Outcome in Primary Retroperitoneal Well-Differentiated Liposarcoma,"GZ Li, J Lee, K Whiting, LX Qin, EK Bartlett, AM Crago, M Brennan, and others",ANNALS OF SURGICAL ONCOLOGY,"30 (SUPPL 1), S120-S121",2023,No,No,
The Histopathological Growth Patterns of Post-treatment Colorectal Liver Metastases: Presence of Mucin is Associated with Worse Overall Survival in Tumors with Desmoplastic Pattern,"C Firat, K Whiting, A Kohli, P Khosravi, J Garcia-Aguilar, M Gonen, J Shia",LABORATORY INVESTIGATION,"103 (3), S548-S549",2023,No,No,
"Clinical, Molecular and Immunohistochemical Profiles Of Nested Subtype Of Urothelial Carcinoma","MB Yerebakan, T Clinton, K Whiting, C Chu, GG Ozcan, D Akbulut, and others",LABORATORY INVESTIGATION,"103 (3), S694-S695",2023,No,No,
Genomic Landscape of Urothelial Carcinoma with Divergent Differentiation and Histologic Subtypes,"C Chu, Z Chen, K Whiting, R Rammal, A Lenis, GG Ozcan, D Akbulut, and others",LABORATORY INVESTIGATION,"103 (3), S701-S702",2023,No,Yes,
The post-transplant scoring system (PTSS) is associated with outcomes in patients with MDS after CD34+ selected allogeneic stem cell transplant,"A Alarcon Tomas, K Whiting, M Maloy, JD Ruiz, S Devlin, and others",Bone Marrow Transplantation,"56 (11), 2749-2754",2021,No,No,
"A phase 2 trial of buparlisib in patients with platinum-resistant metastatic urothelial carcinoma (vol 126, pg 4532, 2020)","V McPherson, B Reardon, A Bhayankara, K Whiting",CANCER,"127 (13), 2376-2376",2021,No,No,
"A global repository of novel antimicrobial emergenc e events [version 2; peer review: 1 approved, 2 approved with","E Mendelsohn, N Ross, AM White, K Whiting, C Basaraba, and others",,,2021,No,No,
Corrigendum re “Fibroblast Growth Factor Receptor 3 Alteration Status is Associated with Differential Sensitivity to Platinum-based Chemotherapy in Locally Advanced and …,"MY Teo, JM Mota, K Whiting, HA Li, SA Funt, CH Lee, DB Solit, and others",European Urology,"79 (5), e158-e159",2021,No,No,
Synchronous and Metachronous Bilateral Breast Cancer Among Women with a History of Lobular Carcinoma In Situ,"MA Mallory, A Park, K Whiting, M Gonen, E Gilbert, TA King, M Pilewskie",ANNALS OF SURGICAL ONCOLOGY,"27 (SUPPL 1), S107-S107",2020,No,No,
Digital Disease Detection for Health Security,"C Machalaba, T Allen, A Andre, B Arnold, N Breit, K Whiting, WB Karesh, and others",APHA's,2018 Annual Meeting & Expo (Nov. 10-Nov. 14),2018,No,No,
